customer_id,recency_days,frequency,monetary,r_score,f_score,m_score,segment
1030,262,1,943.75,1,1,2,Lost
4340,262,3,1181.49,1,2,2,Lost
2788,261,1,67.03,1,1,1,Lost
9,261,4,2903.15,1,3,3,At Risk
3049,260,1,102.95,1,1,1,Lost
3723,260,1,570.12,1,1,1,Lost
3307,260,2,1995.2,1,2,2,Lost
2468,259,1,325.68,1,1,1,Lost
1336,259,1,382.69,1,1,1,Lost
3207,259,3,1644.91,1,2,2,Lost
3245,258,1,89.74,1,1,1,Lost
1010,258,1,223.26,1,1,1,Lost
2821,258,1,277.51,1,1,1,Lost
2048,258,3,2545.06,1,2,3,Potential
1251,258,6,1545.26,1,3,2,At Risk
2014,257,2,1025.73,1,2,2,Lost
4189,257,5,2707.81,1,3,3,At Risk
3194,256,2,731.88,1,2,1,Lost
2684,256,9,4870.57,1,4,4,At Risk
3236,255,3,3735.8,1,3,3,At Risk
2871,255,3,4490.69,1,3,3,At Risk
1694,254,1,87.75,1,1,1,Lost
1698,254,1,304.56,1,1,1,Lost
14,254,1,664.37,1,1,1,Lost
4583,254,5,2689.92,1,3,3,At Risk
2154,253,1,230.91,1,1,1,Lost
2155,253,1,259.45,1,1,1,Lost
3275,253,2,794.74,1,2,1,Lost
2926,253,4,2865.01,1,3,3,At Risk
2057,251,1,57.42,1,1,1,Lost
1328,249,1,364.02,1,1,1,Lost
3138,249,1,1157.63,1,1,2,Lost
806,249,2,1457.48,1,2,2,Lost
552,247,1,1699.49,1,1,2,Lost
2088,247,3,695.31,1,2,1,Lost
1322,247,11,5372.24,1,4,4,At Risk
1931,246,1,175.68,1,1,1,Lost
3184,246,2,1982.82,1,2,2,Lost
723,246,3,1770.54,1,2,2,Lost
811,246,3,2649.05,1,2,3,Potential
1223,246,4,1851.48,1,3,2,At Risk
4368,246,4,2420.55,1,3,3,At Risk
2473,245,1,2329.76,1,1,3,Potential
3011,245,2,587.31,1,2,1,Lost
4333,245,2,889.06,1,2,2,Lost
401,245,2,1323.92,1,2,2,Lost
2453,245,2,1420.23,1,2,2,Lost
122,245,2,1440.19,1,2,2,Lost
2818,244,1,306.0,1,1,1,Lost
4681,243,1,881.22,1,1,2,Lost
967,243,2,847.48,1,2,1,Lost
1367,243,7,2447.95,1,3,3,At Risk
3747,242,1,161.72,1,1,1,Lost
717,241,2,2039.76,1,2,2,Lost
2614,240,1,61.1,1,1,1,Lost
3169,240,1,1221.49,1,1,2,Lost
4667,240,2,98.2,1,1,1,Lost
3659,240,2,256.76,1,1,1,Lost
2392,240,2,410.08,1,1,1,Lost
1350,239,2,402.09,1,1,1,Lost
4143,239,3,2618.42,1,2,3,Potential
148,238,2,532.5,1,2,1,Lost
2876,238,4,1526.68,1,3,2,At Risk
4747,238,5,2523.03,1,3,3,At Risk
129,237,3,4666.32,1,3,3,At Risk
3936,236,1,135.18,1,1,1,Lost
1488,236,2,2426.35,1,2,3,Potential
2983,236,3,995.04,1,2,2,Lost
4879,236,5,2277.13,1,3,3,At Risk
597,235,2,2699.3,1,2,3,Potential
1106,234,1,884.78,1,1,2,Lost
2002,234,2,930.94,1,2,2,Lost
4981,234,2,2300.34,1,2,3,Potential
3928,234,4,2109.97,1,3,2,At Risk
94,233,4,3151.39,1,3,3,At Risk
4572,232,2,637.29,1,2,1,Lost
697,232,3,2105.72,1,2,2,Lost
2066,232,3,3086.6,1,2,3,Potential
4422,231,1,569.13,1,1,1,Lost
3281,230,1,344.68,1,1,1,Lost
617,230,1,663.97,1,1,1,Lost
3099,230,1,1064.09,1,1,2,Lost
3770,230,7,6851.21,1,4,4,At Risk
4040,229,1,216.54,1,1,1,Lost
2786,229,1,448.24,1,1,1,Lost
2955,229,2,2481.33,1,2,3,Potential
2598,229,3,1054.6,1,2,2,Lost
2271,229,3,2657.21,1,2,3,Potential
950,229,5,2321.15,1,3,3,At Risk
1012,228,1,629.3,1,1,1,Lost
2167,228,2,654.3,1,2,1,Lost
3062,228,3,1510.43,1,2,2,Lost
3814,227,1,724.4,1,1,1,Lost
2671,227,3,478.63,1,2,1,Lost
4614,226,2,2844.11,1,2,3,Potential
2319,226,2,2881.9,1,2,3,Potential
858,226,4,892.02,1,3,2,At Risk
127,226,4,1919.78,1,3,2,At Risk
2674,225,1,123.11,1,1,1,Lost
3670,225,2,212.86,1,1,1,Lost
4151,225,2,662.34,1,2,1,Lost
2695,225,2,1568.14,1,2,2,Lost
3441,225,3,742.55,1,2,1,Lost
4392,224,1,168.19,1,1,1,Lost
356,224,1,184.11,1,1,1,Lost
4564,224,1,945.79,1,1,2,Lost
4112,224,2,1418.96,1,2,2,Lost
4761,224,2,2479.14,1,2,3,Potential
3655,224,3,895.29,1,2,2,Lost
4294,224,6,3870.64,1,3,3,At Risk
3133,223,1,143.9,1,1,1,Lost
1843,223,2,1354.62,1,2,2,Lost
564,222,2,732.02,1,2,1,Lost
3613,222,3,1556.45,1,2,2,Lost
2890,222,10,8456.19,1,4,4,At Risk
4586,221,2,1228.46,1,2,2,Lost
4306,221,2,1861.55,1,2,2,Lost
2797,221,3,463.57,1,2,1,Lost
4609,221,4,1459.03,1,3,2,At Risk
1042,220,1,560.27,1,1,1,Lost
1663,220,1,864.56,1,1,2,Lost
2423,220,1,993.12,1,1,2,Lost
1244,220,2,1472.11,1,2,2,Lost
4091,220,3,640.47,1,2,1,Lost
98,220,3,1290.56,1,2,2,Lost
258,219,1,145.99,1,1,1,Lost
1396,219,1,277.13,1,1,1,Lost
750,219,2,632.24,1,2,1,Lost
849,219,3,1056.7,1,2,2,Lost
2774,218,1,347.96,1,1,1,Lost
31,218,1,472.22,1,1,1,Lost
3393,218,1,475.61,1,1,1,Lost
3165,218,2,2258.64,1,2,3,Potential
2526,218,3,1560.66,1,2,2,Lost
3973,218,4,2053.92,1,3,2,At Risk
2951,218,12,12911.84,1,4,4,At Risk
3859,217,2,873.69,1,2,2,Lost
4759,217,4,1590.7,1,3,2,At Risk
1144,216,1,253.7,1,1,1,Lost
3083,216,1,430.95,1,1,1,Lost
336,216,1,548.95,1,1,1,Lost
3212,216,1,1028.84,1,1,2,Lost
4297,216,2,816.85,1,2,1,Lost
1088,216,2,915.03,1,2,2,Lost
4527,215,1,261.55,1,1,1,Lost
275,215,1,371.81,1,1,1,Lost
1366,215,2,811.3,1,2,1,Lost
3851,215,2,1160.66,1,2,2,Lost
4643,215,2,2368.59,1,2,3,Potential
4806,214,1,442.25,1,1,1,Lost
3238,214,1,1267.45,1,1,2,Lost
559,214,1,1427.52,1,1,2,Lost
3020,214,7,1994.28,1,3,2,At Risk
2964,213,1,384.01,1,1,1,Lost
1254,213,7,2082.74,1,3,2,At Risk
3064,212,2,2117.7,1,2,2,Lost
328,211,4,2531.59,1,3,3,At Risk
2459,211,9,5805.74,1,4,4,At Risk
4854,210,3,1619.0,1,2,2,Lost
3304,209,1,121.67,1,1,1,Lost
4848,209,1,610.6,1,1,1,Lost
4577,209,1,614.75,1,1,1,Lost
3347,209,2,406.08,1,1,1,Lost
2007,209,2,3272.45,1,2,3,Potential
3743,208,2,1715.26,1,2,2,Lost
1683,208,2,2862.04,1,2,3,Potential
1215,208,3,1923.43,1,2,2,Lost
199,208,5,2047.55,1,3,2,At Risk
3645,207,2,1389.89,1,2,2,Lost
4567,207,5,1989.48,1,3,2,At Risk
3445,207,7,3633.59,1,3,3,At Risk
2273,206,1,592.82,1,1,1,Lost
3830,205,1,26.17,1,1,1,Lost
4127,205,1,61.37,1,1,1,Lost
720,205,1,402.58,1,1,1,Lost
354,205,2,1759.39,1,2,2,Lost
52,205,5,3382.17,1,3,3,At Risk
2345,204,1,234.88,1,1,1,Lost
4407,204,2,1180.2,1,2,2,Lost
1560,204,3,1790.16,1,2,2,Lost
2481,204,3,2261.39,1,2,3,Potential
591,204,3,2265.81,1,2,3,Potential
635,203,1,184.38,1,1,1,Lost
1610,203,2,1848.16,1,2,2,Lost
3476,203,2,2127.07,1,2,2,Lost
4448,203,4,1956.53,1,3,2,At Risk
2436,203,6,2486.41,1,3,3,At Risk
1861,202,1,462.04,1,1,1,Lost
4788,202,1,1051.72,1,1,2,Lost
4050,202,3,3326.24,1,3,3,At Risk
3070,202,6,2807.85,1,3,3,At Risk
4954,202,8,4473.68,1,4,3,At Risk
3173,201,1,317.12,1,1,1,Lost
3183,201,1,2833.03,1,1,3,Potential
1548,201,2,1069.59,1,2,2,Lost
3686,201,3,1025.06,1,2,2,Lost
3359,201,3,1988.7,1,2,2,Lost
280,200,1,347.64,1,1,1,Lost
1588,200,1,1200.42,1,1,2,Lost
4807,200,1,1387.37,1,1,2,Lost
3612,200,2,804.95,1,2,1,Lost
4168,199,2,2174.73,1,2,2,Lost
4391,199,3,1290.76,1,2,2,Lost
1335,199,3,4909.92,1,3,4,At Risk
1391,199,4,5958.77,1,3,4,At Risk
3218,198,1,23.13,1,1,1,Lost
2353,198,1,636.1,1,1,1,Lost
3195,198,1,1496.47,1,1,2,Lost
2891,198,3,2155.33,1,2,2,Lost
783,198,4,1233.96,1,3,2,At Risk
4752,198,5,4532.92,1,3,3,At Risk
1250,197,1,235.89,1,1,1,Lost
832,197,1,707.15,1,1,1,Lost
4784,197,2,2644.71,1,2,3,Potential
853,197,5,2403.74,1,3,3,At Risk
721,196,3,1388.95,1,2,2,Lost
3944,195,1,475.94,1,1,1,Lost
4723,195,4,3304.03,1,3,3,At Risk
3315,194,1,621.13,1,1,1,Lost
1413,194,2,465.74,1,1,1,Lost
3219,193,1,972.03,1,1,2,Lost
1967,193,3,292.18,1,2,1,Lost
1914,193,8,5674.84,1,4,4,At Risk
2923,192,2,404.03,1,1,1,Lost
1717,192,2,2756.5,1,2,3,Potential
3924,192,3,1428.73,1,2,2,Lost
534,191,1,22.21,1,1,1,Lost
901,191,1,170.43,1,1,1,Lost
1741,191,1,281.39,1,1,1,Lost
1287,191,1,483.69,1,1,1,Lost
3560,191,2,560.8,1,2,1,Lost
3698,191,4,4541.0,1,3,3,At Risk
3000,191,5,3153.17,1,3,3,At Risk
3918,191,7,1950.74,1,3,2,At Risk
4309,190,1,97.29,1,1,1,Lost
1169,190,1,599.02,1,1,1,Lost
4488,190,1,674.42,1,1,1,Lost
1065,190,1,755.25,1,1,1,Lost
2424,190,1,832.32,1,1,1,Lost
4541,190,1,2135.59,1,1,2,Lost
1893,190,2,496.71,1,1,1,Lost
4576,190,5,2224.13,1,3,3,At Risk
42,190,10,8549.82,1,4,4,At Risk
794,189,2,812.83,1,2,1,Lost
2038,189,2,1785.09,1,2,2,Lost
2123,189,2,1799.72,1,2,2,Lost
1272,189,3,3453.77,1,3,3,At Risk
3033,189,5,2512.69,1,3,3,At Risk
3547,189,6,4618.85,1,3,3,At Risk
3102,189,10,8867.0,1,4,4,At Risk
2246,188,3,166.66,1,2,1,Lost
2183,188,4,2055.25,1,3,2,At Risk
799,188,4,2171.97,1,3,2,At Risk
4818,188,4,2962.0,1,3,3,At Risk
2458,188,4,3860.03,1,3,3,At Risk
3092,188,10,5748.34,1,4,4,At Risk
2767,187,1,141.58,1,1,1,Lost
2882,187,2,1162.62,1,2,2,Lost
1709,187,3,1330.31,1,2,2,Lost
4721,187,11,5901.07,1,4,4,At Risk
1792,186,1,23.13,1,1,1,Lost
3508,186,1,469.73,1,1,1,Lost
2564,186,1,620.05,1,1,1,Lost
3142,186,1,834.25,1,1,1,Lost
264,186,1,2616.11,1,1,3,Potential
2850,186,3,1722.66,1,2,2,Lost
2782,186,4,2198.15,1,3,3,At Risk
2174,186,5,2395.2,1,3,3,At Risk
1953,185,1,993.15,1,1,2,Lost
760,185,2,2901.14,1,2,3,Potential
2131,185,4,2857.33,1,3,3,At Risk
1900,184,1,446.52,1,1,1,Lost
1398,184,2,737.71,1,2,1,Lost
4786,184,2,1363.3,1,2,2,Lost
1402,184,3,3259.51,1,2,3,Potential
4896,184,3,3749.85,1,3,3,At Risk
4556,184,4,2499.96,1,3,3,At Risk
384,183,1,273.06,1,1,1,Lost
499,183,1,1453.49,1,1,2,Lost
2303,183,2,729.05,1,2,1,Lost
4282,183,3,1607.84,1,2,2,Lost
3403,182,5,3595.45,1,3,3,At Risk
225,181,1,868.39,1,1,2,Lost
4082,181,1,1140.42,1,1,2,Lost
2678,181,1,1505.05,1,1,2,Lost
3221,181,4,2623.51,1,3,3,At Risk
4566,181,4,3022.51,1,3,3,At Risk
3807,181,5,2734.64,1,3,3,At Risk
1141,181,5,4519.94,1,3,3,At Risk
2840,180,1,299.03,1,1,1,Lost
1232,180,1,522.18,1,1,1,Lost
4511,180,1,1566.03,1,1,2,Lost
1118,180,2,1584.64,1,2,2,Lost
1395,179,1,649.07,1,1,1,Lost
2153,179,2,988.73,1,2,2,Lost
1363,179,5,1550.93,1,3,2,At Risk
2203,178,1,3297.24,1,1,3,Potential
2360,178,2,658.32,1,2,1,Lost
2385,178,3,1380.73,1,2,2,Lost
305,178,5,3404.46,1,3,3,At Risk
4756,177,1,121.79,1,1,1,Lost
2434,177,2,554.16,1,2,1,Lost
4072,177,3,763.37,1,2,1,Lost
4398,177,3,2846.08,1,2,3,Potential
3497,177,7,2448.12,1,3,3,At Risk
